위도,경도,장소명칭,장소상세정보,무장애관광정보,추천코스여부,데이터품질점검결과,데이터기준일자
33.23714303,126.515571,법환포구 주차장,특이사항없음,특이사항없음,N,정상,2020-12-22
33.23681898,126.515304,안내표지(동가름물.막숙) 주차구역,특이사항없음,특이사항없음,N,정상,2020-12-22
33.236217,126.515118,잠녀상 공원 및 주차구역,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.23527697,126.514416,법환야외공연장 공용화장실 및 주차구역,특이사항없음,장애인화장실,Y,정상,2020-12-22
33.23493498,126.513965,오르막 종료,경사구간 : 오르막 경사 25m (경사 5˚),접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.234737,126.51378,안내표지(해녀체험센터.체험장) 앞,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.233988,126.513631,해녀체험센터 앞,경사구간 : wp.116에서 20m 지점부터 내리막 시작 (경사길이 7m / 각도 6˚),접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.23355096,126.512991,해녀체험장,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.23302802,126.511724,해녀작업장,경사구간 : wp.118에서 9m 지점부터 내리막 시작 (경사길이 26m / 각도 10˚),접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),N,정상,2020-12-22
33.23276198,126.511331,보행로 시작,보행로 폭 85cm,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),N,정상,2020-12-22
33.23183804,126.509787,안내표지(오다리),보행로 폭 200cm,특이사항없음,N,정상,2020-12-22
33.23079499,126.507903,안내표지(흰돌밑),특이사항없음,특이사항없음,N,정상,2020-12-22
33.23120504,126.505742,안내표지(두머니물) / 보행로 끝,cafe 가베 앞,특이사항없음,N,정상,2020-12-22
