위도,경도,장소명칭,장소상세정보,무장애관광정보,추천코스여부,데이터품질점검결과,데이터기준일자
33.47144899,126.778929,송당리사무소 주차장 화장실,일반도로. 보행로 없어 주의 필요,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.47155603,126.778515,작은내교 앞 진입로,시멘트 포장 길,특이사항없음,Y,정상,2020-12-22
33.47011602,126.779491,다리 옆,제주특별자치도 제주시 구좌읍 송당리 1567-3,특이사항없음,Y,정상,2020-12-22
33.46817401,126.780961,오르막 시작,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.46770102,126.781741,오르막 85m 지점,경사구간 : 경사 5°,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.46754998,126.78209,오르막 종료,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.46622597,126.782361,저류지 앞,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.46598701,126.782052,오르막 시작 / 갈래길. 우측방향 전개,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.46562298,126.780974,오르막 100m 지점,경사구간 : 경사 5°,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.46530698,126.780075,괭이모루 둘레길 입구,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.46506801,126.779416,오르막 종료 / 삼나무 쉼터,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.46478202,126.778819,표지판 '삼나무 숲길'. '당오름 둘레길',삼나무 숲길 진입 흙길,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.46487397,126.778159,삼거리(우측 당오름. 좌측 마을방향),특이사항없음,특이사항없음,Y,정상,2020-12-22
33.460838,126.773103,일반도로 합류지점 앞(반환),도로위 보행구간 80cm. 차량통행 위험예상,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.46388801,126.772508,350m 지점,특이사항없음,특이사항없음,N,정상,2020-12-22
33.46531302,126.772178,송당 소원길 시작 (소원 비는 나무 앞),시멘트 포장 길,특이사항없음,Y,정상,2020-12-22
33.46531402,126.772179,송당 소원길 시작 (소원 비는 나무 앞),시멘트 포장 길,특이사항없음,Y,정상,2020-12-22
33.46622002,126.77101,삼거리,바닥에 갈라짐(cracking) 심함,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.467554,126.771538,내리막 시작 (뜨레시옷 시옷동),경사구간 : 경사 3~6°.  44m 구간,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.46791602,126.771616,내리막 종료,경사구간 : 경사 3~6°.  44m 구간,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.46860903,126.771713,삼거리,붉은 지붕집 옆,특이사항없음,Y,정상,2020-12-22
33.46984302,126.772664,갈래길 (우측 전개),621m 지점 길폭 2.5m,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.47020797,126.77474,체육공원,화장실 폐쇄,특이사항없음,Y,정상,2020-12-22
33.47015801,126.775309,송당보건진료소,제세동기 비치,특이사항없음,Y,정상,2020-12-22
33.46989498,126.775633,당오름 입구,보건소 건너편. 횡단보도 있음.,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.46942099,126.776487,본향교,꽉메운 판석. 시멘트 포장 길,특이사항없음,Y,정상,2020-12-22
33.46934899,126.776985,당오름 주차장,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.46932099,126.776885,오르막 시작,경사구간 : 1058m 지점 경사 5~6°,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.46893299,126.776867,본향당 입구,출입구 봉쇄,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.46844902,126.775889,본향당 ,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.46943297,126.776846,종료 (W.P 27),시멘트길,특이사항없음,Y,정상,2020-12-22
33.47033101,126.777464,포장길 끝,특이사항없음,특이사항없음,N,정상,2020-12-22
33.46204198,126.782703,마로 쉽터 화장실,간이화장실,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),N,정상,2020-12-22
33.44586398,126.757386,거슨세미오름 주차장 화장실,주변 대체 장애인화장실,장애인화장실,N,정상,2020-12-22
33.48933002,126.799238,메이즈랜드 웰빙 한식당 화장실,현재 폐쇄중. 주변 대체 장애인화장실,장애인화장실,N,정상,2020-12-22
