위도,경도,장소명칭,장소상세정보,무장애관광정보,추천코스여부,데이터품질점검결과,데이터기준일자
33.39548598,126.684925,시작. 장애인 주차구역,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.39511399,126.684908,사려니 숲길 안내도,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.39505901,126.684772,한라산 둘레길 숲길센터 화장실,특이사항없음,장애인화장실,Y,정상,2020-12-22
33.39518096,126.684879,사려니숲 무장애 나눔길 점자 안내판,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.39530602,126.684638,쉼터,삼나무길,특이사항없음,Y,정상,2020-12-22
33.39563903,126.684346,쉼터,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.39579502,126.684163,사려니숲 무장애 나눔길 코스선택' 갈림길,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.39595,126.684023,쉼터,나무의자 2개,특이사항없음,Y,정상,2020-12-22
33.39621202,126.684061,쉼터,나무의자 2개,특이사항없음,Y,정상,2020-12-22
33.39644303,126.683804,쉼터,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.39599904,126.683013,하늘보기 쉼팡&사려니숲 무장애 나눔길 점자 안내판,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.39573098,126.682578,쉼터,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.395576,126.682394,내리막,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.39542496,126.682692,쉼터,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.395618,126.682839,쉼터,왼쪽으로 이동 후 하늘보기 쉼팡&안내판,특이사항없음,Y,정상,2020-12-22
33.39628402,126.683604,소망담은 쉼팡 갈림길,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.39608797,126.683457,소망담은 쉼팡 쉼터,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.39590097,126.683326,사려니숲 무장애 나눔길 점자 안내판,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.39581698,126.684081,미로숲길 가는 길,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.39550098,126.683567,하영쉬멍 쉼팡,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.39546402,126.683024,쉼터,왼쪽으로 이동 후 하늘 보기 쉼팡&안내판,특이사항없음,Y,정상,2020-12-22
33.39527601,126.682879,쉼터,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.39498097,126.682777,쉼터,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.39478299,126.682614,사려니 숲 공식 포토존,장애인 관람석. 공연장 있음,특이사항없음,Y,정상,2020-12-22
33.39479498,126.68243,호끌락 공연장 무대,반환점,특이사항없음,Y,정상,2020-12-22
