위도,경도,장소명칭,장소상세정보,무장애관광정보,추천코스여부,데이터품질점검결과,데이터기준일자
33.27812199,126.718671,남원포구 주차장,시작. 바다방향 아치형 다리 보임,특이사항없음,Y,정상,2020-12-22
33.27797203,126.719735,제주올레 안내소 장애인 화장실,장애인화장실 남여공용. 구멍뚫린 보도블럭(잔디블럭),장애인화장실,N,정상,2020-12-22
33.27915204,126.724641,주차공간,공터,특이사항없음,Y,정상,2020-12-22
33.279419,126.728028,주차공간,공터,특이사항없음,Y,정상,2020-12-22
33.27944398,126.728106,남태교,폭 95 ,특이사항없음,Y,정상,2020-12-22
33.27951003,126.728427,남태교,폭 95 ,특이사항없음,Y,정상,2020-12-22
33.27942898,126.729222,환해장성,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.27962101,126.731266,쉼터,정자,특이사항없음,Y,정상,2020-12-22
33.28172302,126.734383,해녀체험장,입구에 계단 1개,특이사항없음,Y,정상,2020-12-22
33.28038602,126.736754,벌포연대 화장실,마거리트꽃 화단이 있음,특이사항없음,Y,정상,2020-12-22
33.28009802,126.737077,벌포연대,시작과 끝 지점에 쉼터있음,특이사항없음,Y,정상,2020-12-22
33.280152,126.738462,내리막,경사구간 : 6˚ / 25m. 쉼터 맞은편(워싱턴 야자 밭있음),접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.280094,126.738663,내리막,경사구간 : 6˚ / 26m. 쉼터 맞은편(워싱턴 야자 밭있음),특이사항없음,Y,정상,2020-12-22
33.27999903,126.73878,태흥1리 쉼터 방파제,종료 지점,특이사항없음,Y,정상,2020-12-22
