위도,경도,장소명칭,장소상세정보,무장애관광정보,추천코스여부,데이터품질점검결과,데이터기준일자
33.23665797,126.388322,주차장,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.23678504,126.388655,예래 생태마을 공용 화장실,특이사항없음,장애인화장실,Y,정상,2020-12-22
33.23702903,126.388861,논짓물 비석 앞,판석과 사각판석이 혼재되어 있음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.23721897,126.389323,논짓물 해변 공원,판석과 사각판석이 혼재되어 있음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.23762499,126.390008,올레길 8코스 시작점,아스팔트에서 시멘트길로 변경되는 지점에 파인 바닥이 있어 우측 밀착 요망,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.23909601,126.394192,쉼터,뷰 포인트,특이사항없음,Y,정상,2020-12-22
33.24081296,126.396516,갯깍다리 주차공간,갓길 주차공간 있음,특이사항없음,Y,정상,2020-12-22
33.24107104,126.39645,갯깍다리,반환점,특이사항없음,Y,정상,2020-12-22
