위도,경도,장소명칭,장소상세정보,무장애관광정보,추천코스여부,데이터품질점검결과,데이터기준일자
33.40337201,126.678639,주차장,붉은오름 매표소 앞 주차장,특이사항없음,Y,정상,2020-12-22
33.40324804,126.67843,매표소,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.403227,126.678353,매표소 옆 출입구,경사로 . 턱 2cm,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.40314603,126.678232,방문자센터 화장실,넓은 판석길 (12m). 코어네트(12m),접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.40306104,126.678261,방문자센터 화장실,특이사항없음,장애인화장실,Y,정상,2020-12-22
33.40326497,126.67767,'힐링 무장애 나눔길 상잣성' 입구,점형.점선 블록 . 나무데크 길 시작,특이사항없음,Y,정상,2020-12-22
33.40338299,126.677559,무장애 나눔숲길 안내도,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.40432998,126.677994,곰솔쉼터,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.40500204,126.678756,쉼터,안내판 있음,특이사항없음,Y,정상,2020-12-22
33.40565901,126.677211,잣성,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.40554703,126.677052,쉼터,벤치3개. 안내판 있음,특이사항없음,Y,정상,2020-12-22
33.40434498,126.676793,쉼터,벤치 있음,특이사항없음,Y,정상,2020-12-22
33.40298996,126.676131,삼거리 갈림길,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.40231002,126.675283,[39-40] 나무데크 내리막길,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),N,정상,2020-12-22
33.40239602,126.675269,내리막길 끝,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),N,정상,2020-12-22
33.40236501,126.674929,연못끝,오르막길,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),N,정상,2020-12-22
33.40245201,126.674804,오르막길 끝,특이사항없음,특이사항없음,N,정상,2020-12-22
33.40205798,126.673947,목재문화체험장/나무데크 끝,특이사항없음,특이사항없음,N,정상,2020-12-22
33.40180602,126.674071,목재문화체험장 옆 야외 화장실,경사구간 : 코어네트길 10˚/ 판석길 8˚ 3m,장애인화장실,N,정상,2020-12-22
33.40178498,126.674685,붉은오름 포토존,특이사항없음,특이사항없음,N,정상,2020-12-22
33.401544,126.67482,휴양림 펜션 입구,특이사항없음,특이사항없음,N,정상,2020-12-22
33.40130202,126.675974,펜션 옆 화장실,특이사항없음,장애인화장실,N,정상,2020-12-22
33.40208002,126.675355,점자안내판 끝. 나무데크 끝,W.P 38 ->48 무장애 코스,특이사항없음,Y,정상,2020-12-22
33.401759,126.676051,삼나무 데크길,나무데크 길 시작,특이사항없음,Y,정상,2020-12-22
33.40189101,126.676618,붉은오름 정상가는길,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.40217499,126.676964,유아숲 체험원,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.40319197,126.677681,붉은오름 정상등반길,나무데크 길 끝,특이사항없음,Y,정상,2020-12-22
33.403284,126.679315,주차장 앞 화장실,특이사항없음,장애인화장실,Y,정상,2020-12-22
