위도,경도,장소명칭,장소상세정보,무장애관광정보,추천코스여부,데이터품질점검결과,데이터기준일자
33.34290697,126.174232,싱게물(신개물)공원 주차장,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.34289096,126.174187,싱게물(신개물)공원 화장실,특이사항없음,장애인화장실,Y,정상,2020-12-22
33.34312599,126.174194,해안길 시작,제주환상자전거도로 폭(120cm),특이사항없음,Y,정상,2020-12-22
33.34283103,126.172138,생태체험장 표지판 앞,신창풍차 카약.전기자전거대여 Shop,특이사항없음,Y,정상,2020-12-22
33.34230096,126.171481,삼동낭물 표지석 앞,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.34195898,126.167695,풍차 조망 뷰포인트,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.33846096,126.166924,용당포구 갈림길,시멘트길,특이사항없음,Y,정상,2020-12-22
33.33833498,126.16635,풍력발전기 앞,시멘트길,특이사항없음,Y,정상,2020-12-22
33.33803801,126.16652,용당포구 화장실,특이사항없음,특이사항없음,N,정상,2020-12-22
