위도,경도,장소명칭,장소상세정보,무장애관광정보,추천코스여부,데이터품질점검결과,데이터기준일자
33.20514897,126.27738,섯알오름주차장,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.20508099,126.277772,섯알오름주차장. 평화공원화장실,주출입구에 나무데크 경사로 설치. 턱있음,장애인화장실,Y,정상,2020-12-22
33.20568197,126.280614,섯알오름 예비검속 희생자추모비,경사구간 : 경사길이 6m(11~17˚),접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.20579798,126.280822,추모정(양민학살터),나무테크 계단길 (38개),접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),N,정상,2020-12-22
33.20563604,126.280514,추모의 길 종료지점,나무테크 계단길 (17개),접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),N,정상,2020-12-22
33.205269,126.276822,알뜨르비행장 격납고 사거리,노면: 시멘트. 폭 440cm,특이사항없음,Y,정상,2020-12-22
33.20658202,126.276843,140m 지점 격납고 1,자갈길. 흙길 혼재,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),N,정상,2020-12-22
33.20764502,126.277199,격납고 2,노면: 시멘트,특이사항없음,Y,정상,2020-12-22
33.20982398,126.276319,격납고(10-2) 3,노면: 흙길,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),N,정상,2020-12-22
33.20967,126.276979,반환점,특이사항없음,특이사항없음,Y,정상,2020-12-22
