위도,경도,장소명칭,장소상세정보,무장애관광정보,추천코스여부,데이터품질점검결과,데이터기준일자
33.52653603,126.884979,화장실,별방진 오른쪽,장애인화장실,Y,정상,2020-12-22
33.52289401,126.897662,하도 어촌계 공동창고,끝,특이사항없음,Y,정상,2020-12-22
33.52438197,126.895199,환해장성,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.52656897,126.891865,각시당,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.52771897,126.891467,신동코지불턱. 화장실,계단2. 대변기1. 소변기1 ,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.52668003,126.884642,쉼터,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.52777102,126.883905,등대,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.52718102,126.883364,Hado 조형물,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.52757698,126.882686,하도포구 정자,시작,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.52615097,126.857052,오일장입구,특이사항없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
