위도,경도,장소명칭,장소상세정보,무장애관광정보,추천코스여부,데이터품질점검결과,데이터기준일자
33.533174,126.842109,공영주차장,감수굴 밭담길' 표지판 시작알림,특이사항없음,Y,정상,2020-12-22
33.53266999,126.842437,감수굴 수덕비,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.53200397,126.842204,갈림길1,퐁낭' 그늘,특이사항없음,Y,정상,2020-12-22
33.53090904,126.843195,평대 중동 회관,POI 나즈막한 정원집들 ,특이사항없음,Y,정상,2020-12-22
33.529809,126.843549,불림 모살길,노면: 자갈길 / POI 기와한옥집. 핑크뮬리밭,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),Y,정상,2020-12-22
33.52990698,126.845302,일반도로 만나는 지점,특이사항없음,특이사항없음,N,정상,2020-12-22
33.53013799,126.845903,갈림길2 시작,노면: 자갈길,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),N,정상,2020-12-22
33.53105304,126.844752,갈림길2 종료,노면: 자갈길,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),N,정상,2020-12-22
33.53160398,126.843535,갈림길3,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.53103301,126.84319,평대 중동 회관 (W.P 39),특이사항없음,특이사항없음,Y,정상,2020-12-22
33.53265096,126.844804,해안도로 합류지점,특이사항없음,특이사항없음,Y,정상,2020-12-22
33.53308297,126.844596,갯동산. 넙덕빌레,주차면 표시없으나 주차차량들이 있음,특이사항없음,Y,정상,2020-12-22
33.53312697,126.844368,내리막 시작점,르토아베이스먼트' 카페 끼고 꺽는 갈림길.,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),N,정상,2020-12-22
33.53306897,126.844253,내리막 종료점,경사구간 : 경사길이 총 14m. 5°,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),N,정상,2020-12-22
33.53296302,126.84409,비포장 시작,노면: 자갈길,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),N,정상,2020-12-22
33.53322504,126.843382,갈림길4,기와돌집 사잇길로 이어짐,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),N,정상,2020-12-22
33.53362997,126.842957,해안로 정자 만나는 길,특이사항없음,특이사항없음,N,정상,2020-12-22
33.53326896,126.84239,종료(공영주차장)(W.P 36=54=55),특이사항없음,특이사항없음,Y,정상,2020-12-22
33.53327399,126.842394,종료(공영주차장)(W.P 36=54=55),특이사항없음,특이사항없음,Y,정상,2020-12-22
33.53314399,126.844519,갯동산. 넙덕빌레 (W.P 47),특이사항없음,특이사항없음,Y,정상,2020-12-22
33.53314097,126.840839,평대해수욕장 간이 화장실,현재 사용불가. 장애인 화장실 없음,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),N,정상,2020-12-22
33.53666397,126.840578,서동항포구 공중 화장실,주변 대체 장애인화장실 ,접근성 정보 있음 (계단 혹은 경사 있음. 길 상태 안 좋음),N,정상,2020-12-22
